User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1001631,P00129342,F,51-55,0,C,4+,0,1,5.0,15.0,11987
1005312,P00213242,M,26-35,1,A,1,0,5,8.0,,8889
1001311,P00020342,M,18-25,10,C,1,0,1,2.0,,7957
1004600,P00126142,M,26-35,0,C,2,1,8,16.0,,9904
1000061,P00370242,M,26-35,17,C,1,0,5,,,7109
1005256,P0095142,M,26-35,16,B,4+,1,2,4.0,,12855
1002302,P00050442,M,51-55,12,A,1,1,1,8.0,13.0,11952
1003635,P00286042,M,51-55,1,C,1,0,18,,,3150
1004868,P00361842,M,36-45,17,C,1,1,15,16.0,,12783
1002207,P00321942,M,18-25,4,C,4+,0,5,,,6999
1003414,P00016742,M,26-35,17,C,1,1,1,15.0,16.0,7963
1003158,P00132242,M,26-35,15,B,1,0,5,,,5396
1005317,P00313642,F,26-35,0,A,1,0,6,10.0,,16345
1003900,P00194442,F,26-35,14,B,2,1,5,,,5418
1001122,P00046742,M,55+,14,C,0,1,1,2.0,15.0,15486
1003167,P00251242,M,26-35,2,C,3,0,5,11.0,,7052
1005250,P00057642,M,51-55,6,B,4+,1,1,15.0,16.0,19523
1001609,P00116842,F,36-45,9,B,3,0,2,5.0,8.0,12987
1003589,P00354042,F,46-50,0,B,1,1,1,6.0,,4203
1003032,P00320942,M,26-35,0,A,1,1,1,4.0,9.0,15888
1001183,P00059442,M,36-45,19,B,1,0,6,8.0,16.0,11952
1004001,P00075742,F,26-35,1,B,1,1,8,14.0,,5991
1000041,P00251542,F,18-25,4,C,3,0,11,16.0,,6025
1003675,P00227742,M,36-45,7,B,3,0,5,14.0,,6908
1001883,P00326942,F,51-55,0,B,1,1,5,14.0,,5232
1003579,P00222042,M,18-25,0,C,2,0,1,8.0,,8161
1000204,P00003442,M,26-35,7,B,1,1,4,5.0,8.0,2140
1001033,P00255742,M,26-35,5,B,1,0,3,4.0,,13210
1004734,P00375436,M,51-55,1,B,1,1,20,,,612
1000836,P00053842,M,26-35,11,A,4+,0,4,5.0,12.0,756
1002664,P00044142,M,36-45,7,B,1,0,8,16.0,,9868
1001502,P00044442,M,18-25,4,C,3,0,1,16.0,,19163
1001434,P00196242,F,0-17,10,A,0,0,3,4.0,5.0,3011
1001038,P00031042,F,55+,15,C,2,1,8,,,9959
1003790,P00242242,F,26-35,17,A,1,0,5,,,6907
1004928,P00116142,F,26-35,3,A,4+,0,10,13.0,16.0,18753
1004277,P00233042,M,36-45,16,A,0,0,1,8.0,,15718
1005602,P00178042,M,36-45,0,B,1,0,8,14.0,,8090
1000195,P00126442,M,26-35,12,B,4+,1,7,,,20856
1001860,P00351142,M,55+,16,C,1,0,1,8.0,17.0,12027
1001716,P00370242,M,26-35,0,B,0,0,5,,,5314
1000911,P00104842,M,51-55,0,B,3,1,8,,,6061
1004682,P00253042,M,26-35,7,B,3,1,8,,,9975
1001899,P00146442,F,46-50,6,A,1,1,8,,,8124
1000712,P00025442,M,26-35,0,B,2,0,1,2.0,9.0,19620
1000582,P00002442,M,18-25,4,C,4+,0,8,15.0,,9790
1002887,P00237542,M,26-35,3,B,3,1,1,15.0,16.0,19532
1001628,P00086342,M,18-25,20,B,1,0,8,,,8136
1003917,P00220442,F,36-45,9,A,0,0,5,14.0,,7180
1004581,P00084842,M,26-35,1,C,2,1,8,16.0,,10045
1001951,P00220342,F,18-25,4,C,1,0,5,,,6866
1004795,P00312742,M,46-50,16,C,1,0,15,,,12883
1001803,P00000742,M,26-35,2,B,1,0,5,14.0,,5163
1004060,P00271142,M,26-35,18,C,2,1,5,,,8735
1005433,P00277942,F,36-45,17,B,3,1,1,,,7887
1002223,P00225542,M,26-35,2,B,0,1,5,8.0,,3589
1001584,P00016642,M,26-35,19,B,4+,0,5,,,7045
1004808,P00346142,M,36-45,0,A,1,1,1,15.0,,19119
1004186,P00029242,M,26-35,7,B,1,1,8,,,4023
1000889,P00223242,M,46-50,20,A,1,0,5,14.0,,5218
1000457,P00345642,M,18-25,4,B,2,0,1,15.0,16.0,7760
1005035,P00372445,F,26-35,17,B,1,1,20,,,591
1003715,P00242142,M,18-25,5,B,2,0,5,9.0,,6995
1003391,P00059642,M,18-25,4,A,0,0,1,2.0,3.0,11807
1003054,P00150742,M,18-25,4,B,1,1,8,14.0,,7927
1002074,P00258742,M,18-25,4,A,1,0,5,,,8641
1002223,P00147942,M,26-35,2,B,0,1,1,16.0,,15481
1001010,P00336942,M,26-35,0,A,1,0,5,,,5380
1003597,P00284942,M,26-35,17,C,1,1,16,,,12115
1005468,P00339342,M,26-35,12,A,1,0,1,,,15320
1001151,P00163442,M,26-35,15,C,2,1,6,8.0,13.0,12689
1001128,P00215642,M,26-35,1,A,2,0,8,,,5838
1004508,P00293842,M,26-35,20,A,2,0,1,2.0,9.0,15674
1001261,P00260242,M,18-25,4,C,2,0,5,16.0,,5205
1002826,P00084342,M,36-45,12,A,4+,1,13,16.0,,772
1000822,P00058142,F,26-35,1,B,0,1,3,4.0,12.0,8434
1002668,P00078742,F,26-35,4,A,3,1,5,8.0,14.0,7115
1002205,P00086342,F,26-35,7,A,3,1,8,,,7941
1004322,P00259942,F,51-55,6,B,1,0,16,,,12495
1003650,P00359742,M,26-35,0,A,2,0,1,5.0,,7852
1000101,P00157642,F,18-25,3,A,1,0,1,14.0,16.0,19308
1001988,P00062842,F,26-35,1,B,2,0,1,2.0,13.0,11948
1004765,P00321742,F,36-45,16,B,3,1,5,8.0,17.0,6958
1003458,P00045642,M,46-50,0,C,1,0,8,14.0,,10001
1004773,P00334242,M,46-50,1,C,4+,1,1,8.0,,18970
1001932,P00178842,M,26-35,7,A,4+,0,2,4.0,9.0,9722
1002498,P00052842,M,55+,18,C,1,1,10,15.0,,5459
1001017,P00102842,M,36-45,0,B,2,0,8,,,9950
1003051,P00105142,M,18-25,17,B,0,0,1,2.0,15.0,15194
1005054,P00315042,M,36-45,2,B,0,0,8,,,6121
1001075,P00113242,F,26-35,6,A,1,1,1,6.0,8.0,19216
1001780,P00266042,M,36-45,1,B,0,0,8,,,3951
1001472,P00201442,M,26-35,7,C,1,0,1,6.0,8.0,15454
1000026,P0097142,M,26-35,7,B,2,1,12,,,732
1001447,P00121642,M,18-25,4,A,0,0,5,14.0,,5418
1003929,P00326742,M,26-35,5,B,1,1,11,,,6035
1002489,P00110642,F,36-45,9,B,1,0,5,,,5175
1004365,P00162442,F,51-55,16,C,1,1,1,16.0,,11691
1004607,P00004142,M,26-35,0,B,4+,0,8,17.0,,7777
1003562,P00221342,F,26-35,6,B,4+,0,1,2.0,5.0,8040
1002344,P00355142,M,26-35,12,A,1,0,1,15.0,,12013
1003526,P00005042,M,36-45,2,B,1,1,6,16.0,,20335
1004064,P00311442,M,46-50,0,A,1,1,11,15.0,,1710
1000873,P00120242,M,55+,6,C,3,1,8,,,8091
1000073,P00249742,M,18-25,4,A,4+,0,1,15.0,18.0,4237
1002125,P00046742,M,36-45,3,C,0,0,1,2.0,15.0,19506
1001943,P00279542,M,18-25,4,B,0,0,8,,,7945
1001733,P00233142,M,18-25,14,B,0,1,1,11.0,15.0,15472
1000970,P00146742,M,26-35,0,B,4+,1,1,13.0,14.0,11986
1002737,P00305042,M,26-35,3,B,3,0,11,13.0,16.0,4708
1005432,P00101342,M,55+,13,C,3,1,6,8.0,,20479
1001880,P00339542,M,36-45,0,B,3,1,1,,,15334
1005837,P00026142,M,26-35,7,B,0,1,5,,,3670
1005153,P00187442,M,26-35,7,B,3,0,2,4.0,5.0,9596
1000308,P00345742,M,26-35,2,A,3,1,1,2.0,15.0,15687
1005180,P00288342,M,36-45,11,C,1,1,8,,,8107
1004312,P00344142,M,26-35,18,A,0,1,18,,,2332
1000352,P00177842,M,18-25,4,A,0,0,8,,,7952
1005523,P00212042,M,36-45,0,B,2,1,13,15.0,,567
1003742,P00124642,M,26-35,0,B,0,1,16,,,16837
1004578,P00130742,M,26-35,0,A,4+,0,1,14.0,17.0,11390
1002624,P00085442,F,36-45,0,A,1,1,12,14.0,,1767
1001726,P00216142,M,26-35,2,B,1,1,1,16.0,,8218
1000184,P00092442,F,26-35,0,C,4+,1,2,4.0,,16488
1002978,P00051442,M,36-45,20,C,1,0,8,17.0,,10009
1001329,P00201442,M,18-25,14,B,3,0,1,6.0,8.0,15326
1001922,P00193042,F,26-35,7,B,4+,0,5,6.0,16.0,5214
1000533,P00042742,M,26-35,12,A,1,0,5,14.0,,6871
1000749,P00279442,M,36-45,18,B,0,0,16,,,12199
1005555,P00244042,M,0-17,10,B,2,0,1,2.0,15.0,7827
1001899,P00219842,F,46-50,6,A,1,1,5,,,7074
1001219,P00151742,M,26-35,7,C,3,1,8,15.0,16.0,5893
1002061,P00084842,M,55+,1,B,0,0,8,16.0,,9800
1000103,P00125942,M,46-50,7,B,2,1,1,2.0,15.0,19315
1000721,P00103342,F,36-45,9,B,1,0,8,,,6161
1001466,P00033642,M,18-25,4,C,3,1,5,8.0,,1713
1002779,P00084842,M,36-45,7,B,1,0,8,16.0,,8029
1002748,P00113242,M,26-35,4,B,1,0,1,6.0,8.0,8153
1002792,P00008042,M,18-25,4,C,1,0,6,8.0,14.0,8009
1000802,P00110742,M,26-35,16,B,1,0,1,2.0,8.0,19273
1004041,P00142942,M,18-25,3,B,2,0,1,2.0,16.0,19173
1000123,P00147742,M,36-45,9,B,4+,1,1,16.0,,8312
1000984,P00123842,M,51-55,16,A,2,1,11,15.0,,6125
1004771,P00052242,F,26-35,4,A,0,0,8,,,8126
1001173,P00018142,F,26-35,7,A,3,0,5,,,5429
1005854,P00227042,M,46-50,7,B,0,1,11,,,3074
1005948,P00199642,M,55+,13,B,0,0,16,,,12462
1001399,P00084842,M,18-25,17,C,1,0,8,16.0,,8141
1001609,P00036842,F,36-45,9,B,3,0,1,14.0,16.0,11913
1000549,P00105442,M,26-35,6,A,3,0,11,,,6065
1002627,P00280642,M,26-35,1,B,2,1,11,,,4572
1005912,P00102142,M,26-35,1,C,2,0,13,16.0,,766
1002793,P00222842,M,36-45,7,B,3,0,8,,,7974
1004175,P00218042,M,36-45,0,C,1,0,5,,,6891
1004711,P00118442,M,26-35,17,C,1,1,1,2.0,,18995
1003718,P00328942,M,51-55,17,C,1,0,5,6.0,8.0,8901
1005408,P00083942,M,26-35,20,C,3,0,12,14.0,,1771
1002439,P00102342,M,46-50,17,A,1,1,8,14.0,17.0,8135
1004590,P00121542,F,18-25,20,A,4+,0,8,15.0,,5876
1004344,P00285842,M,26-35,1,A,4+,0,5,,,6867
1005501,P00193142,M,26-35,2,A,3,0,5,,,5169
1000710,P00001942,M,26-35,20,A,4+,0,5,,,1864
1004092,P00196542,F,26-35,0,C,4+,0,5,8.0,14.0,8906
1002529,P00027642,F,36-45,9,A,3,0,8,,,9940
1001843,P00120042,M,26-35,12,A,2,0,1,2.0,,11590
1000136,P00052642,M,18-25,2,B,3,0,5,14.0,,5402
1000549,P00102642,M,26-35,6,A,3,0,4,8.0,9.0,3552
1005140,P00114142,M,26-35,6,B,2,0,8,,,10013
1006010,P00112442,M,36-45,0,C,1,0,6,8.0,,15981
1000999,P00102642,M,26-35,15,B,2,0,4,8.0,9.0,2828
1005647,P00326242,M,18-25,1,C,2,0,2,18.0,,6910
1003262,P00249542,M,26-35,14,B,2,1,1,5.0,15.0,7830
1005635,P00024042,F,36-45,9,B,3,1,7,,,20628
1005276,P00213942,F,26-35,4,B,1,1,5,14.0,,5425
1003150,P00367942,F,26-35,3,C,4+,1,5,,,6969
1003471,P00101942,M,18-25,4,A,1,0,8,17.0,,9967
1003556,P00157642,M,26-35,17,C,1,1,1,14.0,16.0,11473
1001489,P00271242,F,36-45,2,A,2,1,8,14.0,,7833
1001301,P00005042,F,26-35,2,C,1,1,6,16.0,,20307
1004732,P00345942,M,26-35,14,B,2,1,8,15.0,,5982
1001447,P00186542,M,18-25,4,A,0,0,2,4.0,8.0,9964
1005256,P00207342,M,26-35,16,B,4+,1,5,8.0,14.0,6906
1001912,P00043542,M,26-35,4,A,1,1,8,,,3935
1000412,P00026042,M,36-45,15,A,1,1,8,14.0,17.0,7783
1004980,P00057342,M,26-35,1,B,0,0,4,5.0,,2168
1001894,P00154442,F,36-45,7,B,0,1,8,14.0,,6020
1000754,P00230842,M,36-45,7,C,3,0,8,,,9886
1002491,P00251842,M,36-45,7,C,0,0,1,15.0,16.0,8316
1003727,P00113342,M,36-45,7,B,1,0,1,8.0,17.0,19670
1000235,P00108442,M,26-35,0,B,0,0,5,,,7020
1000533,P00277842,M,26-35,12,A,1,0,1,,,15562
1002064,P00209642,M,36-45,1,C,1,0,15,16.0,17.0,12515
1001875,P00001742,M,36-45,12,A,2,0,8,14.0,,6130
1003643,P00242742,M,26-35,17,C,1,0,1,2.0,9.0,12026
1001926,P00332342,F,0-17,0,B,1,0,5,8.0,,7063
1000791,P00057742,M,36-45,7,B,1,0,2,8.0,18.0,16366
1001855,P00025442,M,18-25,4,C,4+,0,1,2.0,9.0,15571
1000280,P00114042,M,51-55,7,C,0,1,5,14.0,,8804
1005397,P00214642,M,18-25,0,B,2,1,11,13.0,16.0,1512
1002733,P00126142,M,46-50,17,B,1,1,8,16.0,,8086
1002860,P00307542,M,36-45,17,A,2,0,1,15.0,,15841
1002174,P00231142,M,51-55,12,B,1,1,5,8.0,,3439
1002846,P00238442,F,18-25,4,C,4+,0,6,,,16488
1001385,P00368442,F,26-35,5,C,1,1,11,,,5982
1001329,P00161242,M,18-25,14,B,3,0,1,5.0,12.0,15588
1004956,P00142142,M,36-45,15,B,1,1,1,2.0,15.0,7640
1006025,P00078742,F,26-35,1,B,1,0,5,8.0,14.0,8760
1002665,P00203842,M,36-45,11,B,1,0,16,,,4192
1004728,P00193242,M,26-35,19,B,3,0,6,8.0,,15936
1004826,P00339842,M,46-50,12,C,1,1,1,14.0,15.0,11411
1004897,P00218142,M,36-45,16,B,3,0,1,2.0,,11658
1004411,P00370853,M,18-25,4,A,3,0,19,,,38
1004092,P00174442,F,26-35,0,C,4+,0,5,,,7145
1002952,P00087242,M,26-35,4,B,1,0,14,,,14714
1003371,P00115142,M,26-35,2,A,3,0,1,8.0,17.0,7888
1001680,P00198542,M,26-35,20,A,3,1,8,,,9743
1001737,P00317342,M,36-45,20,B,3,0,8,16.0,,4169
1004878,P00052442,M,51-55,4,B,4+,1,5,8.0,,7153
1001273,P00083342,M,36-45,2,C,3,1,5,8.0,14.0,7003
1000409,P00111742,M,18-25,12,B,4+,0,15,,,21447
1002489,P00011742,F,36-45,9,B,1,0,8,,,8097
1002764,P00085642,M,26-35,7,B,1,0,5,14.0,,8764
1003180,P00075642,M,26-35,14,B,1,0,4,5.0,,2085
1003009,P00252042,F,36-45,3,A,3,1,5,14.0,,7008
1003224,P00323942,F,26-35,14,A,3,1,8,15.0,,8101
1002258,P00085042,F,18-25,4,B,4+,0,5,6.0,,7164
1005948,P00086442,M,55+,13,B,0,0,8,13.0,15.0,9988
1003669,P00010742,M,26-35,14,A,2,0,1,8.0,17.0,19339
1000977,P00100642,M,26-35,2,C,0,0,5,15.0,,6977
1005508,P00224042,M,26-35,20,C,1,0,8,,,7864
1003420,P00324942,F,26-35,7,A,3,0,5,,,6943
1001120,P00302742,M,18-25,4,A,0,1,8,,,6026
1002540,P00102342,F,46-50,6,B,3,1,8,14.0,17.0,9723
1005100,P00318942,M,51-55,6,B,1,1,8,16.0,,7990
1004152,P00070442,M,26-35,14,C,1,1,1,15.0,,11685
1005630,P00268442,M,36-45,17,B,1,0,8,17.0,,7774
1004579,P00355042,F,18-25,4,B,1,1,18,,,2250
1005333,P00145642,F,26-35,7,A,4+,0,1,8.0,17.0,19063
1002581,P00200442,M,26-35,11,A,1,0,13,16.0,,936
1000626,P00119642,M,18-25,4,B,4+,1,1,2.0,8.0,11700
1003607,P00139542,M,36-45,17,C,0,0,5,,,1803
1005329,P00130942,F,26-35,5,B,1,0,5,8.0,,3741
1002369,P00114942,M,36-45,14,B,1,1,1,15.0,16.0,19068
1004448,P00039742,M,26-35,14,A,0,0,5,,,8567
1001606,P00198742,F,36-45,3,A,4+,0,1,2.0,11.0,12101
1000911,P00183442,M,51-55,0,B,3,1,1,2.0,,15381
1004124,P00120642,M,26-35,18,C,1,1,5,,,7120
1005682,P00046642,M,18-25,0,B,2,0,1,,,18966
1003036,P00114942,M,55+,13,C,1,0,1,15.0,16.0,19486
1001470,P00241442,M,18-25,4,A,1,1,2,15.0,,6425
1005880,P00208342,M,26-35,1,A,1,1,1,16.0,,19297
1005333,P00275142,F,26-35,7,A,4+,0,5,8.0,,5427
1000656,P00270842,F,46-50,16,C,3,1,5,,,6961
1005645,P00058342,M,26-35,2,B,3,0,3,4.0,,8397
1001262,P00355642,M,26-35,4,A,0,1,16,,,8108
1005443,P00184242,M,26-35,12,B,2,0,9,15.0,,23116
1005278,P00121642,F,26-35,7,B,1,0,5,14.0,,8596
1002267,P00178342,F,55+,13,C,1,1,8,,,6076
1001930,P00190842,M,26-35,15,A,4+,0,2,5.0,12.0,6939
1004351,P00266642,M,26-35,12,C,2,0,1,8.0,9.0,19584
1000051,P00117442,F,0-17,10,C,2,0,5,14.0,,7162
1001117,P00008842,M,18-25,14,B,3,0,1,16.0,,15258
1003436,P00214142,M,36-45,0,C,1,0,8,,,6050
1005950,P00271942,M,26-35,4,B,2,1,5,8.0,,7105
1003301,P00028842,F,26-35,2,B,3,0,6,8.0,,8041
1000903,P00149542,M,55+,13,C,2,1,1,6.0,13.0,19414
1004448,P00235642,M,26-35,14,A,0,0,8,16.0,,9812
1000216,P00023142,M,46-50,13,B,1,0,5,14.0,,6917
1005770,P00110542,M,26-35,0,C,3,1,8,,,9753
1000372,P00358442,F,18-25,4,C,2,0,1,15.0,,19687
1004326,P00092942,F,46-50,13,B,1,1,8,17.0,,2272
1005684,P00304342,M,18-25,16,A,1,0,1,5.0,6.0,19096
1004879,P00326042,M,26-35,3,A,2,0,2,,,13294
1002402,P00001142,M,46-50,17,B,4+,0,5,8.0,14.0,3589
1001885,P00183942,M,51-55,17,B,2,1,3,4.0,,13194
1003178,P00115142,F,36-45,5,A,4+,0,1,8.0,17.0,11419
1002094,P00100642,M,36-45,2,B,3,0,5,15.0,,8680
1001298,P00249542,M,36-45,6,B,4+,0,1,5.0,15.0,15392
1004407,P00304642,M,18-25,4,A,1,0,2,14.0,15.0,10022
1003751,P00370242,F,36-45,12,B,4+,0,5,,,7122
1002376,P00184442,M,26-35,1,A,3,0,1,6.0,8.0,8050
1000562,P00288642,M,36-45,20,C,2,0,16,,,16575
1005952,P00085042,F,46-50,1,C,4+,1,5,6.0,,8585
1004482,P00326242,F,36-45,1,A,1,0,2,18.0,,13184
1001390,P00145042,M,36-45,16,C,3,1,1,2.0,5.0,15187
1005142,P00110742,M,26-35,1,B,1,1,1,2.0,8.0,15846
1002624,P00117242,F,36-45,0,A,1,1,8,17.0,,9971
1002398,P00345842,M,26-35,0,B,1,0,2,8.0,14.0,6521
1005955,P00233542,F,26-35,7,A,1,0,1,15.0,,15564
1001687,P00331942,M,26-35,3,A,1,0,5,,,6880
1005024,P00216342,F,46-50,1,C,1,0,3,4.0,5.0,8285
1000223,P00145042,M,26-35,17,B,4+,0,1,2.0,5.0,15851
1002127,P00110742,M,18-25,4,C,0,1,1,2.0,8.0,11532
1005039,P00286342,F,36-45,4,B,2,1,7,,,16627
1004064,P00118842,M,46-50,0,A,1,1,5,8.0,,5178
1005647,P00118542,M,18-25,1,C,2,0,5,8.0,,8805
1000185,P00262242,M,46-50,0,C,0,0,1,11.0,16.0,12027
1005558,P00244042,M,0-17,10,B,2,0,1,2.0,15.0,15561
1001584,P00109242,M,26-35,19,B,4+,0,6,8.0,10.0,12209
1002665,P00181542,M,36-45,11,B,1,0,11,16.0,,6054
1000346,P00288142,F,26-35,0,B,2,0,5,,,7162
1003705,P00116042,M,46-50,7,B,1,1,8,,,6027
1004731,P00147942,M,26-35,17,B,1,1,1,16.0,,15552
1002864,P00296042,F,36-45,3,C,1,0,8,13.0,16.0,6044
1000022,P00258842,M,18-25,15,A,4+,0,5,,,5186
1001150,P00266542,F,26-35,20,A,1,0,2,16.0,,12773
1005749,P00061142,M,26-35,2,A,0,1,8,16.0,,6039
1005718,P00155642,F,36-45,14,C,4+,1,8,,,9783
1004879,P0096742,M,26-35,3,A,2,0,2,4.0,12.0,9829
1000123,P00010842,M,36-45,9,B,4+,1,8,16.0,,7933
1001843,P00363742,M,26-35,12,A,2,0,5,,,7002
1004579,P00154042,F,18-25,4,B,1,1,1,2.0,15.0,11670
1002161,P00117442,F,36-45,2,C,2,1,5,14.0,,3609
1001745,P00286642,M,46-50,0,A,4+,1,11,14.0,,5908
1002796,P0097242,M,26-35,14,B,3,0,1,16.0,,15654
1002935,P00086442,M,26-35,0,B,2,1,8,13.0,15.0,9715
1005911,P00224142,F,26-35,17,C,4+,1,8,,,8093
1000301,P00058242,M,18-25,4,B,4+,0,3,4.0,12.0,13633
1005647,P00265242,M,18-25,1,C,2,0,5,8.0,,8887
1003562,P00141942,F,26-35,6,B,4+,0,5,8.0,14.0,3552
1000337,P00067542,M,18-25,19,C,0,0,1,2.0,,4364
1001943,P00212942,M,18-25,4,B,0,0,5,,,7093
1002777,P00026942,M,18-25,4,B,2,0,5,,,5161
1002181,P00106042,M,26-35,0,B,4+,1,5,,,7038
1000509,P00220742,M,26-35,2,A,0,1,2,4.0,9.0,9755
1002088,P00068842,M,51-55,7,A,1,1,5,15.0,,8835
1001812,P00212942,F,26-35,12,A,4+,1,5,,,6908
1003411,P00210342,M,18-25,4,A,4+,0,3,4.0,,5412
1003807,P00179942,F,36-45,19,B,2,0,11,,,1552
1003569,P00124742,F,18-25,2,B,1,0,10,16.0,,14500
1001288,P00315642,F,36-45,19,C,1,0,8,13.0,,6147
1004387,P0094542,F,18-25,4,B,0,0,2,4.0,9.0,12886
1001613,P00050442,M,18-25,20,A,1,0,1,8.0,13.0,12015
1003246,P00154642,F,36-45,1,B,1,1,8,,,5987
1000349,P00010742,M,0-17,10,C,0,0,1,8.0,17.0,19590
1004392,P00370853,M,18-25,4,C,1,1,19,,,38
1001675,P00123042,F,26-35,6,B,1,1,11,,,1507
1002370,P00015642,M,51-55,1,C,2,0,8,16.0,17.0,8130
1004305,P00153142,F,46-50,17,B,1,1,1,8.0,,15602
1003871,P00117942,M,18-25,4,C,4+,0,5,15.0,,5451
1004435,P00301542,M,26-35,7,C,1,0,16,,,8810
1003528,P00031942,M,36-45,5,C,1,0,11,,,3238
1005874,P00071442,M,26-35,4,B,1,0,15,17.0,,17028
1002996,P00112142,M,18-25,0,B,1,0,1,2.0,14.0,19055
1003196,P00250642,F,18-25,4,C,4+,0,11,,,1670
